ac_year,state_name,district_code,district_name,blkcd,blkname,clucd,cluname,vilcd,vilname,schcd,schname,schstatus,pancd,panname,habitcd,habname,municipalcd,munname,city,cityname,aconstcd,constname,edublkcd,blkname,schmgt_desc,schmgt,schcat,rururb,schcat_desc,rururb,schtype,pincd,disthq,distcrc,estdyear,lowclass,highclass,ppsec_yn,ppstudent,ppteacher,workdays,schres_yn,resitype,schshi_yn,noinspect,visitscrc,visitsbrc,conti_r,conti_e,tlm_r,tlm_e,funds_e,funds_r,osrc_e,osrc_r,tchsan,tchpos,parapos,ntpos,medinstr1,medinstr2,medinstr3,medinstr4,supvar1,supvar2,supvar3,supvar4,supvar5,schmntcgrant_r,schmntcgrant_e,tle_r,tle_e,postaladdr,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email,website,parasanct_ele,tchsanct_sec,tchposn_sec,parasanct_sec,paraposn_sec,tchsanct_hsec,tchposn_hsec,parasanct_hsec,paraposn_hsec,tchregu_upr,tchpara_upr,tchpart_upr,tchsanct_pr,parasanct_pr,ntsanct_sec,ntposn_sec,ntsanct_hsec,ntposn_hsec,anganwadi_yn,anganwadi_stu,anganwadi_tch,latdeg,latmin,latsec,londeg,lonmin,lonsec,approachbyroad,yearrecog,yearupgrd,cwsnsch_yn,visitsrtcwsn,distp,distu,dists,disth,meds1,meds2,meds3,meds4,medh1,medh2,medh3,medh4,boardsec,boardhsec,yearrecogs,yearrecogh,yearupgrds,yearupgrdh,schresupr_yn,schressec_yn,schreshsec_yn,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchsec,tchhsec,tchnr_clstaught,tchcwsntrnd,tchdisable,tchregu,tchcont,tchpart
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101001,MAMIT BAZAR VENG,15010100101, MAMIT GOVT. P/S-VII,0,150101007,MAMIT BAZAR VENG,15010100101,MAMIT BAZAR VENG,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,1,2,Primary,Urban,3,796441,0,0,1998,1,4,2,0,0,0,2,5,2,2,11,4,5000,5000,2240,2240,0,0,0,0,0,1,4,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9863393455,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1998,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,14,12,3,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,0,5,1,4,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101002,MAMIT VENGHLUN,15010100201,MAMIT GOVT. P/S-I,0,150101010,MAMIT VENGHLUN,15010100201,MAMIT VENGHLUN,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,1,2,Primary,Urban,3,79644,0,0,1956,1,4,1,8,1,0,2,5,2,2,10,4,5000,5000,2240,2240,0,0,0,0,0,1,3,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8731966295,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1960,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,2,9,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,1,2,1
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101002,MAMIT VENGHLUN,15010100202,MAMIT GOVT. P/S-III,0,150101010,MAMIT VENGHLUN,15010100201,MAMIT VENGHLUN,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,1,2,Primary,Urban,3,796441,0,0,1974,1,4,2,0,0,0,2,5,2,2,12,4,5000,5000,2240,2240,0,0,0,0,0,1,4,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612938615,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1980,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,9,7,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,5,0,0,0,0,0,5,1,4,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101002,MAMIT VENGHLUN,15010100203,MAMIT GOVT. M/S-I,0,150101010,MAMIT VENGHLUN,15010100201,MAMIT VENGHLUN,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,4,2,Upper Primary only,Urban,3,796441,0,0,1948,5,8,2,0,0,0,2,5,2,3,12,6,7000,7000,2250,2250,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612466951,,,,,,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1948,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,5,5,2,3,0,0,0,0,0,0,0,0,7,3,10,0,10,0,0,0,0,10,4,4,2
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101002,MAMIT VENGHLUN,15010100204,"PRESBYTERIAN ENGKISH MEDIUM SCHOOL, MAMIT VENGHLUN",0,150101010,MAMIT VENGHLUN,15010100201,MAMIT VENGHLUN,1501,,1501,,1501001,MAMIT,150101,MAMIT,Local body,3,2,2,Primary with Upper Primary,Urban,3,796441,0,0,2005,1,8,1,100,3,0,2,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,19,98,98,98,,,,,,0,0,0,0,,,,9862423218,,,,,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2005,2005,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,56,44,9,22,24,16,13,14,17,10,12,13,15,15,14,11,15,10,0,0,0,0,0,0,0,0,8,7,15,9,6,0,0,0,0,15,0,15,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101003,N.SABUAL,15010100301,N. SABUAL UPS,0,150101019,N. SABUAL,15010100301,N.SABUAL,1501,,1501,,1501001,MAMIT,150101,MAMIT,SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,10,10,2005,5,8,2,0,0,0,2,5,2,2,10,3,7000,7000,2250,2250,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9863850273,,,,,,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2005,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,3,3,3,2,0,0,0,0,0,0,0,0,0,2,4,6,0,6,0,0,0,0,6,0,6,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101003,N.SABUAL,15010100304,N. SABUAL P/S,0,150101019,N. SABUAL,15010100301,N.SABUAL,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,1,1,Primary,Rural,3,796441,10,10,1986,1,4,2,0,0,0,2,5,2,2,10,3,5000,5000,2240,2240,0,0,0,0,0,1,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9874411833,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,9,10,4,1,3,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101004,SUARHLIAP,15010100403,SUARHLIAP M/S,0,150101024,SUARHLIAP,15010100401,SUARHLIAP,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,4,1,Upper Primary only,Rural,3,796081,30,30,1986,5,8,2,0,0,0,2,5,2,3,8,4,7000,7000,2250,2250,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9862076108,,,,,,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,10,8,11,4,7,10,7,8,0,0,0,0,0,0,0,0,3,2,5,0,5,0,0,0,0,5,2,2,1
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101004,SUARHLIAP,15010100404,SUARHLIAP P/S,0,150101024,SUARHLIAP,15010100401,SUARHLIAP,1501,,1501,,1501001,MAMIT,150101,MAMIT,Department of Education,1,1,1,Primary,Rural,3,796081,32,32,1935,1,4,2,0,0,0,2,5,2,3,8,4,5000,5000,2240,2240,0,0,0,0,0,1,3,0,25,98,98,98,,,,,,7500,7500,0,0,,,,,,,9612447707,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1950,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,17,16,7,8,12,9,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,4,1,3,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101004,SUARHLIAP,15010100405,SUARHLIAP RMSA SECONDARY SCHOOL,0,150101024,SUARHLIAP,15010100401,SUARHLIAP,,,,,1501001,MAMIT,150101,MAMIT,Not Applicable,99,8,1,Secondary Only,Rural,0,796441,0,0,2012,9,10,2,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9856285128,,,9862501848,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,8,10,92,31,8,1,,,2,0,0,0,0,0,,,,,,,,,2,0,2012,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,0,0,0,0,4,2,6,0,0,6,0,0,0,6,0,6,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101005,BAWNGVA,15010100501,BAWNGVA GOVT.  P/S,0,150101001,BAWNGVA,15010100501,BAWNGVA,1501,,1501,,1501005,HACHHEK,150101,MAMIT,Department of Education,1,1,1,Primary,Rural,3,796441,18,18,1986,1,4,2,0,0,0,2,5,2,1,12,1,5000,5000,2240,2240,0,0,66400,66400,0,0,3,0,25,98,98,98,,,,,,7500,7500,0,0,,,,,,,8974559692,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,38,33,15,17,15,18,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,3,0,3,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101005,BAWNGVA,15010100502,BAWNGVA UPS,0,150101001,BAWNGVA,15010100501,BAWNGVA,1501,,3404001,KARAIKAL,1501001,MAMIT,150101,MAMIT,SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,18,18,2006,5,8,2,0,0,0,1,1,2,1,12,2,7000,7000,2250,2250,0,0,15200,15200,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9862036486,,,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2006,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,11,5,9,2,4,0,0,0,0,0,0,0,0,0,0,0,2,3,5,0,5,0,0,0,0,5,0,5,0
2013-14,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100601,DARLAK GOVT. P/S,0,150101002,DARLAK,15010100601,DARLAK,1501,,1501,,1501005,HACHHEK,150101,MAMIT,Department of Education,1,1,1,Primary,Rural,3,796441,18,18,1982,1,4,2,0,0,0,2,5,2,0,5,3,5000,5000,2240,2240,0,0,37600,37600,0,1,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8974669025,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1990,0,2,0,0,1,1,0,,,,,,,,,5,5,,,,,9,0,0,0,0,12,15,9,8,6,9,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,1,2,0
