ac_year,state_name,district_code,district_name,blkcd,blkname,clucd,cluname,vilcd,vilname,schcd,schname,schstatus,pancd,panname,habitcd,habname,municipalcd,munname,city,cityname,aconstcd,constname,edublkcd,blkname,schmgt_desc,schmgt,schcat,rururb,schcat_desc,rururb,schtype,pincd,disthq,distcrc,estdyear,lowclass,highclass,ppsec_yn,ppstudent,ppteacher,workdays,schres_yn,resitype,schshi_yn,noinspect,visitscrc,visitsbrc,conti_r,conti_e,tlm_r,tlm_e,funds_e,funds_r,osrc_e,osrc_r,tchsan,tchpos,parapos,ntpos,medinstr1,medinstr2,medinstr3,medinstr4,supvar1,supvar2,supvar3,supvar4,supvar5,schmntcgrant_r,schmntcgrant_e,tle_r,tle_e,postaladdr,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email,website,parasanct_ele,tchsanct_sec,tchposn_sec,parasanct_sec,paraposn_sec,tchsanct_hsec,tchposn_hsec,parasanct_hsec,paraposn_hsec,tchregu_upr,tchpara_upr,tchpart_upr,tchsanct_pr,parasanct_pr,ntsanct_sec,ntposn_sec,ntsanct_hsec,ntposn_hsec,anganwadi_yn,anganwadi_stu,anganwadi_tch,latdeg,latmin,latsec,londeg,lonmin,lonsec,approachbyroad,yearrecog,yearupgrd,cwsnsch_yn,visitsrtcwsn,distp,distu,dists,disth,meds1,meds2,meds3,meds4,medh1,medh2,medh3,medh4,boardsec,boardhsec,yearrecogs,yearrecogh,yearupgrds,yearupgrdh,schresupr_yn,schressec_yn,schreshsec_yn,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchsec,tchhsec,tchnr_clstaught,tchcwsntrnd,tchdisable,tchregu,tchcont,tchpart
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101004,SUARHLIAP,15010100404,GOVT. SUARHLIAP P/S,0,150101024,SUARHLIAP,15010100401,SUARHLIAP,1501,,1501,,1501001,MAMIT,150101,"SDEO, MAMIT",Department of Education,1,1,1,Primary,Rural,3,796081,32,32,1935,1,4,2,0,0,0,2,5,2,2,8,2,5000,5000,0,0,0,0,0,0,0,2,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8014603757,,,9612447707,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,13,46,92,51,61,1,1950,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,14,10,5,5,5,6,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,4,0,0,0,0,0,4,1,3,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010001,MAMIT,150101004,SUARHLIAP,15010100405,SUARHLIAP RMSA SECONDARY SCHOOL,0,150101024,SUARHLIAP,15010100401,SUARHLIAP,,,,,1501001,MAMIT,150105,"DEO, MAMIT",RMSA                                                                       ,14,8,1,Secondary Only,Rural,3,796441,0,0,2012,9,10,2,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9856285128,,,9862501848,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,8,30,92,30,57,1,,,2,0,0,0,0,0,,,,,,,,,2,0,2012,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,2,1,0,0,0,0,4,2,6,0,0,6,0,0,0,6,0,6,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101005,BAWNGVA,15010100501,GOVT. BAWNGVA P/S,0,150101001,BAWNGVA,15010100501,BAWNGVA,1501,,1501,,1501005,HACHHEK,150101,"SDEO, MAMIT",Department of Education,1,1,1,Primary,Rural,3,796441,18,18,1986,1,4,2,0,0,0,2,5,2,1,12,0,5000,5000,0,0,0,0,0,0,0,2,1,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8974144469,,,9862864902,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,91,27,92,42,68,1,1990,0,2,0,0,2,3,0,,,,,,,,,5,5,,,,,9,0,0,0,0,40,34,10,12,4,11,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,3,2,1,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101005,BAWNGVA,15010100502,BAWNGVA UPS (SSA),0,150101001,BAWNGVA,15010100501,BAWNGVA,1501,,3404001,KARAIKAL,1501001,MAMIT,150101,"SDEO, MAMIT",SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,18,18,2006,5,8,2,0,0,0,1,5,2,0,6,4,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9862036486,,,,,,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,23,91,35,92,42,63,1,2006,0,2,0,0,0,2,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,3,8,0,5,0,0,0,0,0,0,0,0,0,2,3,5,0,5,0,0,0,0,5,0,3,2
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100601,GOVT. DARLAK P/S,0,150101002,DARLAK,15010100601,DARLAK,1501,,1501,,1501005,HACHHEK,150101,"SDEO, MAMIT",Department of Education,1,1,1,Primary,Rural,3,796441,18,18,1982,1,4,2,0,0,0,2,5,2,0,12,0,5000,5000,0,0,0,0,0,0,0,1,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8974669025,,,9612868956,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,90,23,92,41,44,1,1990,0,2,0,0,1,1,0,,,,,,,,,5,5,,,,,9,0,0,0,0,16,9,7,10,6,10,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,1,2,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100602,GOVT. DARLAK M/S,0,150101002,DARLAK,15010100601,DARLAK,1501,,1501,,1501005,HACHHEK,150101,"SDEO, MAMIT",Department of Education,1,4,1,Upper Primary only,Rural,3,796441,18,18,1992,5,8,2,0,0,0,2,5,2,0,12,0,7000,7000,0,0,0,0,0,0,0,0,0,1,25,98,98,98,,,,,,7500,7500,0,0,,,,8974965523,,,8974981862,,,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,2,0,0,23,90,33,92,41,97,1,1995,0,2,0,0,2,1,0,,,,,,,,,5,5,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,14,10,9,8,7,7,11,6,0,0,0,0,0,0,0,0,5,3,8,0,8,0,0,0,0,8,2,4,2
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100603,DARLAK LEILET P/S (SSA),0,150101002,DARLAK,15010100601,DARLAK,1501,,1501,,1501005,HACHHEK,150101,"SDEO, MAMIT",SSA                                                                        ,10,1,1,Primary,Rural,3,796441,18,18,2008,1,4,2,0,0,0,2,5,2,0,12,0,5000,5000,0,0,0,0,0,0,0,0,3,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612612595,,,9402175064,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,90,20,92,41,84,1,2008,0,2,0,0,1,1,0,,,,,,,,,5,5,,,,,9,0,0,0,0,19,9,9,2,6,5,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,3,0,3,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100604,"EMMANUEL ENGLISH SCHOOL, DARLAK (Pvt.)",0,150101002,DARLAK,15010100601,DARLAK,1501,,1501,,1501005,HACHHEK,150101,"SDEO, MAMIT",Pvt. Unaided,5,4,1,Upper Primary only,Rural,3,796441,18,18,2006,5,8,2,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9862438888,,,,,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,23,90,28,92,41,94,1,2006,2006,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,6,0,0,2,4,0,0,0,0,0,0,0,0,3,2,5,0,5,0,0,0,0,5,0,5,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100606,DARLAK RMSA SECONDARY SCHOOL,0,150101002,DARLAK,15010100601,DARLAK,,,,,1501005,HACHHEK,150105,"DEO, MAMIT",RMSA                                                                       ,14,8,1,Secondary Only,Rural,3,796441,,,2011,9,10,2,,,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9612297481,,,9862709750,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,53,58,92,25,10,1,0,,2,0,0,0,0,0,,,,,,,,,2,5,2011,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,6,7,0,0,0,0,2,6,8,0,0,8,0,0,0,8,0,8,0
2014-15,Mizoram                       ,1501,MAMIT,150101,MAMIT,1501010005,NEW MAMIT,150101006,DARLAK,15010100607,EMANUEL ENGLISH P/S DARLAK (Pvt.),0,150101002,DARLAK,15010100601,DARLAK,,,,,1501005,HACHHEK,150101,"SDEO, MAMIT",Pvt. Unaided,5,1,1,Primary,Rural,3,796441,0,0,2006,1,5,1,42,1,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,19,98,98,98,,,,,,0,0,0,0,,,,9862438888,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,90,20,92,41,94,1,2006,,2,0,0,0,0,0,,,,,,,,,0,0,,,,,0,0,0,20,22,8,7,3,8,7,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,5,0,0,0,0,0,5,0,5,0
